normal X: -7.588 | normal Y: 0.052 || Velocity X: 28.834 | Velocity Y: 39.310
Filtered X: -6.828 | Filtered Y: 1.483 || Velocity X: 56.847 | Velocity Y: 75.280
normal X: -6.820 | normal Y: 1.074 || Velocity X: 38.445 | Velocity Y: 51.102
Filtered X: -1.762 | Filtered Y: 3.735 || Velocity X: 173.194 | Velocity Y: 97.367
normal X: 3.272 | normal Y: 4.690 || Velocity X: 504.588 | Velocity Y: 180.828
Filtered X: -1.233 | Filtered Y: 3.972 || Velocity X: 86.286 | Velocity Y: 46.737
normal X: -4.993 | normal Y: 1.781 || Velocity X: -413.280 | Velocity Y: -145.448
Filtered X: -1.323 | Filtered Y: 3.847 || Velocity X: 32.545 | Velocity Y: 15.355
normal X: -3.648 | normal Y: 2.489 || Velocity X: 67.278 | Velocity Y: 35.379
Filtered X: -1.850 | Filtered Y: 3.424 || Velocity X: -2.341 | Velocity Y: -6.255
normal X: -3.360 | normal Y: 2.489 || Velocity X: 14.416 | Velocity Y: 0.000
Filtered X: -2.117 | Filtered Y: 3.047 || Velocity X: -8.850 | Velocity Y: -13.705
normal X: -2.398 | normal Y: 2.725 || Velocity X: 48.056 | Velocity Y: 11.793
Filtered X: -2.129 | Filtered Y: 2.511 || Velocity X: -3.970 | Velocity Y: -21.475
normal X: -1.918 | normal Y: 2.175 || Velocity X: 24.028 | Velocity Y: -27.517
Filtered X: -2.039 | Filtered Y: 1.571 || Velocity X: 1.048 | Velocity Y: -36.591
normal X: -1.822 | normal Y: 0.917 || Velocity X: 4.806 | Velocity Y: -62.896
Filtered X: -1.721 | Filtered Y: 0.838 || Velocity X: 9.832 | Velocity Y: -36.602
normal X: -1.341 | normal Y: 0.838 || Velocity X: 24.028 | Velocity Y: -3.932
Filtered X: -1.697 | Filtered Y: -0.228 || Velocity X: 4.728 | Velocity Y: -46.495
normal X: -1.918 | normal Y: -0.656 || Velocity X: -28.834 | Velocity Y: -74.689
Filtered X: -1.909 | Filtered Y: -1.213 || Velocity X: -4.356 | Velocity Y: -48.145
normal X: -2.302 | normal Y: -1.285 || Velocity X: -19.222 | Velocity Y: -31.448
Filtered X: -2.004 | Filtered Y: -1.889 || Velocity X: -4.584 | Velocity Y: -39.635
normal X: -2.014 | normal Y: -1.521 || Velocity X: 14.417 | Velocity Y: -11.793
Filtered X: -2.018 | Filtered Y: -2.483 || Velocity X: -2.275 | Velocity Y: -33.751
normal X: -1.918 | normal Y: -2.228 || Velocity X: 4.805 | Velocity Y: -35.379
Filtered X: -2.000 | Filtered Y: -2.923 || Velocity X: -0.387 | Velocity Y: -26.787
normal X: -1.918 | normal Y: -2.621 || Velocity X: 0.000 | Velocity Y: -19.655
Filtered X: -2.094 | Filtered Y: -3.402 || Velocity X: -2.969 | Velocity Y: -25.107
normal X: -2.206 | normal Y: -3.329 || Velocity X: -14.417 | Velocity Y: -35.380
Filtered X: -2.387 | Filtered Y: -3.652 || Velocity X: -9.886 | Velocity Y: -17.646
normal X: -2.687 | normal Y: -3.329 || Velocity X: -24.028 | Velocity Y: 0.000
Filtered X: -2.419 | Filtered Y: -3.260 || Velocity X: -4.966 | Velocity Y: 4.391
normal X: -2.206 | normal Y: -2.307 || Velocity X: 24.028 | Velocity Y: 51.102
Filtered X: -1.834 | Filtered Y: -2.207 || Velocity X: 15.303 | Velocity Y: 32.975
normal X: -0.957 | normal Y: -0.970 || Velocity X: 62.473 | Velocity Y: 66.829
Filtered X: -1.488 | Filtered Y: -0.984 || Velocity X: 16.476 | Velocity Y: 49.652
normal X: -1.437 | normal Y: -0.263 || Velocity X: -24.028 | Velocity Y: 35.379
Filtered X: -1.955 | Filtered Y: -0.283 || Velocity X: -7.102 | Velocity Y: 41.025
normal X: -2.975 | normal Y: -0.656 || Velocity X: -76.889 | Velocity Y: -19.655
Filtered X: -2.440 | Filtered Y: 0.428 || Velocity X: -17.253 | Velocity Y: 37.776
normal X: -2.879 | normal Y: 0.288 || Velocity X: 4.805 | Velocity Y: 47.172
Filtered X: -2.826 | Filtered Y: 1.205 || Velocity X: -18.474 | Velocity Y: 38.391
normal X: -2.879 | normal Y: 1.231 || Velocity X: 0.000 | Velocity Y: 47.173
Filtered X: -3.310 | Filtered Y: 2.095 || Velocity X: -21.849 | Velocity Y: 42.036
normal X: -3.456 | normal Y: 2.253 || Velocity X: -28.833 | Velocity Y: 51.103
Filtered X: -3.661 | Filtered Y: 2.947 || Velocity X: -19.320 | Velocity Y: 42.355
normal X: -3.552 | normal Y: 2.961 || Velocity X: -4.805 | Velocity Y: 35.379
Filtered X: -3.788 | Filtered Y: 3.946 || Velocity X: -11.637 | Velocity Y: 46.846
normal X: -3.456 | normal Y: 4.140 || Velocity X: 4.805 | Velocity Y: 58.966
Filtered X: -4.152 | Filtered Y: 4.488 || Velocity X: -15.529 | Velocity Y: 35.166
normal X: -4.321 | normal Y: 3.983 || Velocity X: -43.251 | Velocity Y: -7.863
Filtered X: -4.611 | Filtered Y: 4.799 || Velocity X: -19.921 | Velocity Y: 23.560
normal X: -4.801 | normal Y: 4.297 || Velocity X: -24.028 | Velocity Y: 15.725
Filtered X: -4.876 | Filtered Y: 5.154 || Velocity X: -15.968 | Velocity Y: 20.110
normal X: -4.705 | normal Y: 5.005 || Velocity X: 4.807 | Velocity Y: 35.379
Filtered X: -5.149 | Filtered Y: 5.384 || Velocity X: -14.593 | Velocity Y: 14.993
normal X: -5.090 | normal Y: 5.162 || Velocity X: -19.223 | Velocity Y: 7.862
Filtered X: -5.540 | Filtered Y: 5.524 || Velocity X: -17.518 | Velocity Y: 10.268
normal X: -5.666 | normal Y: 5.319 || Velocity X: -28.833 | Velocity Y: 7.862
Filtered X: -5.918 | Filtered Y: 5.446 || Velocity X: -18.355 | Velocity Y: 1.888
normal X: -5.955 | normal Y: 5.084 || Velocity X: -14.417 | Velocity Y: -11.793
Filtered X: -6.267 | Filtered Y: 5.343 || Velocity X: -17.803 | Velocity Y: -2.288
normal X: -6.243 | normal Y: 5.162 || Velocity X: -14.417 | Velocity Y: 3.931
Filtered X: -6.498 | Filtered Y: 5.100 || Velocity X: -14.119 | Velocity Y: -8.121
normal X: -6.339 | normal Y: 4.848 || Velocity X: -4.805 | Velocity Y: -15.724
Filtered X: -6.503 | Filtered Y: 5.036 || Velocity X: -5.890 | Velocity Y: -5.207
normal X: -6.147 | normal Y: 5.162 || Velocity X: 9.611 | Velocity Y: 15.724
Filtered X: -6.329 | Filtered Y: 5.067 || Velocity X: 2.756 | Velocity Y: -1.198
normal X: -5.955 | normal Y: 5.241 || Velocity X: 9.611 | Velocity Y: 3.931
Filtered X: -6.092 | Filtered Y: 5.061 || Velocity X: 8.143 | Velocity Y: -0.677
normal X: -5.858 | normal Y: 5.084 || Velocity X: 4.806 | Velocity Y: -7.862
Filtered X: -5.603 | Filtered Y: 4.960 || Velocity X: 17.787 | Velocity Y: -3.270
normal X: -5.186 | normal Y: 4.848 || Velocity X: 33.639 | Velocity Y: -11.794
Filtered X: -5.473 | Filtered Y: 4.633 || Velocity X: 11.101 | Velocity Y: -11.020
normal X: -5.762 | normal Y: 4.297 || Velocity X: -28.833 | Velocity Y: -27.517
Filtered X: -5.349 | Filtered Y: 4.327 || Velocity X: 8.207 | Velocity Y: -13.533
normal X: -5.474 | normal Y: 4.219 || Velocity X: 14.418 | Velocity Y: -3.932
Filtered X: -5.354 | Filtered Y: 4.059 || Velocity X: 3.203 | Velocity Y: -13.472
normal X: -5.570 | normal Y: 4.061 || Velocity X: -4.807 | Velocity Y: -7.861
Filtered X: -5.244 | Filtered Y: 3.874 || Velocity X: 4.552 | Velocity Y: -10.961
normal X: -5.186 | normal Y: 3.983 || Velocity X: 19.222 | Velocity Y: -3.932
Filtered X: -5.336 | Filtered Y: 3.695 || Velocity X: -0.862 | Velocity Y: -9.767
normal X: -5.570 | normal Y: 3.747 || Velocity X: -19.222 | Velocity Y: -11.793
Filtered X: -5.280 | Filtered Y: 3.608 || Velocity X: 1.311 | Velocity Y: -6.561
normal X: -5.186 | normal Y: 3.747 || Velocity X: 19.222 | Velocity Y: 0.000
Filtered X: -5.097 | Filtered Y: 3.526 || Velocity X: 5.933 | Velocity Y: -5.098
normal X: -4.897 | normal Y: 3.590 || Velocity X: 14.417 | Velocity Y: -7.862
Filtered X: -4.943 | Filtered Y: 3.325 || Velocity X: 6.989 | Velocity Y: -8.056
normal X: -4.897 | normal Y: 3.197 || Velocity X: 0.000 | Velocity Y: -19.654
Filtered X: -4.718 | Filtered Y: 3.316 || Velocity X: 9.510 | Velocity Y: -3.543
normal X: -4.609 | normal Y: 3.511 || Velocity X: 14.417 | Velocity Y: 15.725
Filtered X: -4.437 | Filtered Y: 3.327 || Velocity X: 12.200 | Velocity Y: -1.110
normal X: -4.321 | normal Y: 3.432 || Velocity X: 14.417 | Velocity Y: -3.932
Filtered X: -4.080 | Filtered Y: 3.499 || Velocity X: 15.533 | Velocity Y: 4.626
normal X: -3.936 | normal Y: 3.747 || Velocity X: 19.223 | Velocity Y: 15.724
Filtered X: -3.885 | Filtered Y: 3.763 || Velocity X: 12.126 | Velocity Y: 9.708
normal X: -4.032 | normal Y: 3.983 || Velocity X: -4.806 | Velocity Y: 11.793
Filtered X: -3.350 | Filtered Y: 4.382 || Velocity X: 20.787 | Velocity Y: 22.288
normal X: -2.975 | normal Y: 4.926 || Velocity X: 52.861 | Velocity Y: 47.173
Filtered X: -2.404 | Filtered Y: 5.216 || Velocity X: 36.472 | Velocity Y: 33.772
normal X: -1.726 | normal Y: 5.713 || Velocity X: 62.473 | Velocity Y: 39.310
Filtered X: -1.655 | Filtered Y: 5.882 || Velocity X: 37.061 | Velocity Y: 33.494
normal X: -1.630 | normal Y: 5.870 || Velocity X: 4.807 | Velocity Y: 7.862
Filtered X: -1.312 | Filtered Y: 6.184 || Velocity X: 25.275 | Velocity Y: 22.603
normal X: -1.822 | normal Y: 5.713 || Velocity X: -9.612 | Velocity Y: -7.862
Filtered X: -1.715 | Filtered Y: 6.059 || Velocity X: -1.628 | Velocity Y: 5.516
normal X: -2.879 | normal Y: 5.319 || Velocity X: -52.862 | Velocity Y: -19.655
Filtered X: -2.328 | Filtered Y: 5.900 || Velocity X: -18.808 | Velocity Y: -2.450
normal X: -3.071 | normal Y: 5.555 || Velocity X: -9.610 | Velocity Y: 11.793
Filtered X: -2.991 | Filtered Y: 5.721 || Velocity X: -27.317 | Velocity Y: -6.288
normal X: -3.360 | normal Y: 5.555 || Velocity X: -14.417 | Velocity Y: 0.000
Filtered X: -3.544 | Filtered Y: 5.440 || Velocity X: -27.498 | Velocity Y: -10.893
normal X: -3.552 | normal Y: 5.241 || Velocity X: -9.610 | Velocity Y: -15.724
Filtered X: -3.940 | Filtered Y: 5.161 || Velocity X: -22.957 | Velocity Y: -12.692
normal X: -3.744 | normal Y: 5.084 || Velocity X: -9.612 | Velocity Y: -7.862
Filtered X: -4.281 | Filtered Y: 5.019 || Velocity X: -19.437 | Velocity Y: -9.387
normal X: -4.128 | normal Y: 5.162 || Velocity X: -19.223 | Velocity Y: 3.931
Filtered X: -4.727 | Filtered Y: 4.907 || Velocity X: -21.147 | Velocity Y: -7.135
normal X: -4.801 | normal Y: 5.005 || Velocity X: -33.639 | Velocity Y: -7.862
Filtered X: -5.166 | Filtered Y: 4.870 || Velocity X: -21.608 | Velocity Y: -4.018
normal X: -5.186 | normal Y: 5.005 || Velocity X: -19.223 | Velocity Y: 0.000
Filtered X: -5.628 | Filtered Y: 4.884 || Velocity X: -22.495 | Velocity Y: -1.225
normal X: -5.666 | normal Y: 5.005 || Velocity X: -24.028 | Velocity Y: 0.000
Filtered X: -5.939 | Filtered Y: 4.923 || Velocity X: -18.401 | Velocity Y: 0.662
normal X: -5.762 | normal Y: 5.005 || Velocity X: -4.805 | Velocity Y: 0.000
Filtered X: -6.111 | Filtered Y: 4.967 || Velocity X: -12.572 | Velocity Y: 1.550
normal X: -5.858 | normal Y: 5.005 || Velocity X: -4.806 | Velocity Y: 0.000
Filtered X: -6.268 | Filtered Y: 4.932 || Velocity X: -9.778 | Velocity Y: -0.395
normal X: -6.147 | normal Y: 4.848 || Velocity X: -14.417 | Velocity Y: -7.862
Filtered X: -6.367 | Filtered Y: 4.959 || Velocity X: -6.918 | Velocity Y: 0.656
normal X: -6.243 | normal Y: 5.005 || Velocity X: -4.806 | Velocity Y: 7.862
Filtered X: -6.516 | Filtered Y: 4.952 || Velocity X: -7.258 | Velocity Y: 0.056
normal X: -6.531 | normal Y: 4.926 || Velocity X: -14.417 | Velocity Y: -3.931
Filtered X: -6.520 | Filtered Y: 4.976 || Velocity X: -3.070 | Velocity Y: 0.725
normal X: -6.339 | normal Y: 5.005 || Velocity X: 9.612 | Velocity Y: 3.931
Filtered X: -6.433 | Filtered Y: 5.031 || Velocity X: 1.326 | Velocity Y: 1.933
normal X: -6.243 | normal Y: 5.084 || Velocity X: 4.805 | Velocity Y: 3.931
Filtered X: -6.208 | Filtered Y: 5.110 || Velocity X: 7.193 | Velocity Y: 3.130
normal X: -5.955 | normal Y: 5.162 || Velocity X: 14.417 | Velocity Y: 3.931
Filtered X: -5.764 | Filtered Y: 5.306 || Velocity X: 16.106 | Velocity Y: 7.071
normal X: -5.378 | normal Y: 5.477 || Velocity X: 28.833 | Velocity Y: 15.724
Filtered X: -5.287 | Filtered Y: 5.495 || Velocity X: 20.673 | Velocity Y: 8.470
normal X: -5.090 | normal Y: 5.555 || Velocity X: 14.417 | Velocity Y: 3.931
Filtered X: -4.842 | Filtered Y: 5.720 || Velocity X: 21.613 | Velocity Y: 10.118
normal X: -4.801 | normal Y: 5.791 || Velocity X: 14.417 | Velocity Y: 11.793
Filtered X: -4.539 | Filtered Y: 5.865 || Velocity X: 17.779 | Velocity Y: 8.417
normal X: -4.705 | normal Y: 5.791 || Velocity X: 4.807 | Velocity Y: 0.000
Filtered X: -4.202 | Filtered Y: 5.961 || Velocity X: 17.247 | Velocity Y: 6.297
normal X: -4.225 | normal Y: 5.870 || Velocity X: 24.028 | Velocity Y: 3.931
Filtered X: -3.849 | Filtered Y: 6.026 || Velocity X: 17.461 | Velocity Y: 4.492
normal X: -3.840 | normal Y: 5.948 || Velocity X: 19.222 | Velocity Y: 3.931
Filtered X: -3.523 | Filtered Y: 6.043 || Velocity X: 16.792 | Velocity Y: 2.313
